abelmoschus: abelmoschuses
abramis: abramises
acanthocereus: acanthocereuses
acanthocybium: acanthocybiums
acanthophis: acanthophises
acanthurus: acanthuruses
acapulco: acapulcoes
achoerodus: achoeroduses
aconitum: aconitums
acorus: acoruses
acris: acrises
acrocarpus: acrocarpuses
acrocephalus: acrocephaluses
acroclinium: acrocliniums
acrostichum: acrostichums
actiniopteris: actiniopterises
actinomeris: actinomerises
actitis: actitises
actium: actiums
adenium: adeniums
adiantum: adiantums
adonis: adonises
adrianopolis: adrianopolises
aegypius: aegypiuses
aegyptopithecus: aegyptopithecuses
aengus: aenguses
aeolis: aeolises
aeolus: aeoluses
aeonium: aeoniums
aeschylus: aeschyluses
aesculapius: aesculapiuses
aesculus: aesculuses
aetobatus: aetobatuses
aframomum: aframomums
afrocarpus: afrocarpusses
agapornis: agapornises
agaricus: agaricuses
agathis: agathises
agdistis: agdistises
agelaius: agelaiuses
agonus: agonuses
agriocharis: agriocharises
agrobacterium: agrobacteriums
agrostis: agrostises
ahriman: ahrimans
aidoneus: aidoneuses
ailurus: ailuruses
alabaman: alabamans
alamo: alamoes
albatrellus: albatrelluses
albugo: albugoes
alcaeus: alcaeuses
alcedo: alcedoes
alcelaphus: alcelaphuses
alectis: alectises
alectoris: alectorises
alepisaurus: alepisauruses
aleppo: aleppoes
aletris: aletrises
algeripithecus: algeripithecuses
allium: alliums
alnus: alnuses
alopecurus: alopecuruses
alopius: alopiuses
alyssum: alyssums
amaranthus: amaranthuses
amblyrhynchus: amblyrhynchuses
ameiurus: ameiuruses
amianthum: amianthums
amman: ammans
ammotragus: ammotraguses
amoy: amoys
amygdalus: amygdaluses
anabrus: anabruses
anacardium: anacardiums
anacyclus: anacycluses
anagallis: anagallises
anagyris: anagyrises
anaphalis: anaphalises
anastomus: anastomuses
ancylus: ancyluses
andricus: andricuses
anemopsis: anemopsises
anethum: anethums
angelus: angeluses
angraecum: angraecums
anguis: anguises
angus: anguses
anigozanthus: anigozanthuses
anisotremus: anisotremuses
annapolis: annapolises
anoectochilus: anoectochiluses
anolis: anolises
anopheles: anopheles
anser: anseres
antananarivo: antananarivoes
anthemis: anthemises
anthericum: anthericums
anthidium: anthidiums
anthonomus: anthonomuses
anthriscus: anthriscuses
anthus: anthuses
anthyllis: anthyllises
antido: antidoes
antigonus: antigonuses
antirrhinum: antirrhinums
antrozous: antrozouses
antum: antums
anubis: anubises
aotus: aotuses
aphis: aphises
apis: apises
aplectrum: aplectrums
apocynum: apocynums
apodemus: apodemuses
aporocactus: aporocactuses
apus: apuses
aquarius: aquariuses
ar: ares
arabis: arabises
arachis: arachises
aramus: aramuses
aranea: araneae
araneus: araneuses
arapaho: arapahoes
arceuthobium: arceuthobiums
archilochus: archilochuses
archosargus: archosarguses
arctictis: arctictises
arctium: arctiums
arctocebus: arctocebuses
arctocephalus: arctocephaluses
arctotis: arctotises
arcturus: arcturuses
argus: arguses
argusianus: argusianuses
argynnis: argynnises
argyranthemum: argyranthemums
argyroxiphium: argyroxiphiums
arilus: ariluses
ariocarpus: ariocarpuses
arisarum: arisarums
aristarchus: aristarchuses
arius: ariuses
armadillidium: armadillidiums
arminius: arminiuses
arno: arnoes
arnoseris: arnoserises
arrhenatherum: arrhenatherums
artamus: artamuses
artemis: artemises
arthropteris: arthropterises
artocarpus: artocarpuses
artois: artoises
arulo: aruloes
arundo: arundoes
asarum: asarums
ascaphus: ascaphuses
ascaris: ascarises
ascophyllum: ascophyllums
asio: asioes
aspalathus: aspalathuses
aspergillus: aspergilluses
asphodelus: asphodeluses
aspidiotus: aspidiotuses
aspis: aspises
asplenium: aspleniums
astacus: astacuses
astragalus: astragaluses
astreus: astreuses
astronium: astroniums
atherinopsis: atherinopsises
atherurus: atheruruses
athrotaxis: athrotaxises
athyrium: athyriums
atrichornis: atrichornises
atticus: atticuses
augustus: augustuses
aulacorhyncus: aulacorhyncuses
aulostomus: aulostomuses
auriparus: auriparuses
australopithecus: australopithecuses
austrocedrus: austrocedruses
austrotaxus: austrotaxuses
automeris: automerises
azaleastrum: azaleastrums
ban: bani
bmus: bmuses
baccharis: baccharises
bacchus: bacchuses
balanus: balanuses
bamako: bamakoes
basiliscus: basiliscuses
bassariscus: bassariscuses
bathyergus: bathyerguses
batis: batises
bauhaus: bauhauses
beaujolais: beaujolaises
beckley: beckleys
belarus: belaruses
belgium: belgiums
bellis: bellises
bennettitis: bennettitises
berberis: berberises
berkeley: berkeleys
bigfoot: bigfoots
bioko: biokoes
bitis: bitises
blaberus: blaberuses
blechnum: blechnums
blennius: blenniuses
blissus: blissuses
bogey: bogeys
bolbitis: bolbitises
boletellus: boletelluses
boletus: boletuses
bombay: bombays
bombus: bombuses
borago: boragoes
borassus: borassuses
borneo: borneoes
borodino: borodinoes
boselaphus: boselaphuses
bosporus: bosporuses
botaurus: botauruses
botrychium: botrychiums
brachinus: brachinuses
bradypus: bradypuses
brahman: brahmans
breiz: breizzes
bris: brises
broadway: broadways
bromus: bromuses
brosmius: brosmiuses
bruchus: bruchuses
brutus: brutuses
bubalus: bubaluses
bubo: buboes
bubulcus: bubulcuses
buffalo: buffaloes
bungarus: bungaruses
buphthalmum: buphthalmums
burhinus: burhinuses
buteo: buteoes
buxus: buxuses
byelarus: byelaruses
byzantium: byzantiums
cis: cises
cacajao: cacajaoes
cacicus: cacicuses
cadiz: cadizzes
cairo: cairoes
cajanus: cajanuses
calamagrostis: calamagrostises
calamus: calamuses
calidris: calidrises
callicebus: callicebuses
calliophis: calliophises
callisaurus: callisauruses
callistephus: callistephuses
callisto: callistoes
callitris: callitrises
callophis: callophises
callorhinus: callorhinuses
calocarpum: calocarpums
calocedrus: calocedruses
calochortus: calochortuses
calophyllum: calophyllums
calycanthus: calycanthuses
calycophyllum: calycophyllums
cambarus: cambaruses
camelus: cameluses
campephilus: campephiluses
camponotus: camponotuses
camptosorus: camptosoruses
campyloneurum: campyloneurums
campylorhynchus: campylorhynchuses
canangium: canangiums
canis: canises
cantharellus: cantharelluses
caporetto: caporettoes
capparis: capparises
capreolus: capreoluses
capricornis: capricornises
capricornus: capricornuses
caprimulgus: caprimulguses
carassius: carassiuses
carboloy: carboloys
carboniferous: carboniferouses
carcharhinus: carcharhinuses
cardiospermum: cardiospermums
cardium: cardiums
carduelis: carduelises
carduus: carduuses
carphophis: carphophises
carpinus: carpinuses
carpobrotus: carpobrotuses
carpodacus: carpodacuses
carthamus: carthamuses
casmerodius: casmerodiuses
cassius: cassiuses
castanopsis: castanopsises
castanospermum: castanospermums
casuarius: casuariuses
catasetum: catasetums
catharanthus: catharanthuses
cathay: cathays
catoptrophorus: catoptrophoruses
catostomus: catostomuses
caucasus: caucasuses
caulophyllum: caulophyllums
cebuano: cebuanoes
cedrus: cedruses
celastrus: celastruses
celtis: celtises
cenchrus: cenchruses
centaurium: centauriums
centaurus: centauruses
