a: as
aa: aas
aarp: aarps
aas: aases
ab: abs
abc: abcs
abls: ablses
abm: abms
ac: acs
acth: acths
ad: ads
adh: adhs
adp: adps
adps: adpses
aec: aecs
afp: afps
ai: ais
aids: aidses
algol: algols
als: alses
alt: alts
am: ams
amex: amexes
amp: amps
amusd: amusds
an: ans
ans: anses
apc: apcs
ascii: asciis
asl: asls
atm: atms
atp: atps
au: aus
awol: awols
az: azes
azt: azts
abel: abels
abelmoschus: abelmoschuses
aberdeen: aberdeens
abidjan: abidjans
abies: abieses
abnaki: abnakis
abo: abos
abor: abors
aboriginal: aboriginals
aborigine: aborigines
abraham: abrahams
abramis: abramises
abrocoma: abrocomas
abronia: abronias
abruzzi: abruzzis
abudefduf: abudefdufs
abutilon: abutilons
abyssinia: abyssinias
abyssinian: abyssinians
acadia: acadias
acadian: acadians
acalypha: acalyphas
acanthaceae: acanthaceaes
acanthisitta: acanthisittas
acanthisittidae: acanthisittidaes
acanthocephala: acanthocephalas
acanthocereus: acanthocereuses
acanthocybium: acanthocybiums
acanthophis: acanthophises
acanthopterygii: acanthopterygiis
acanthoscelides: acanthoscelideses
acanthuridae: acanthuridaes
acanthurus: acanthuruses
acapulco: acapulcoes
acarina: acarinas
accipiter: accipiters
accipitridae: accipitridaes
accipitriformes: accipitriformeses
accra: accras
acer: acers
aceraceae: aceraceaes
achaean: achaeans
achaian: achaians
acheron: acherons
acherontia: acherontias
acheta: achetas
achilles: achilleses
achoerodus: achoeroduses
achomawi: achomawis
achras: achrases
achromycin: achromycins
acinonyx: acinonyxes
acinos: acinoses
acipenser: acipensers
acipenseridae: acipenseridaes
acnidosporidia: acnidosporidias
acocanthera: acocantheras
acokanthera: acokantheras
aconcagua: aconcaguas
aconitum: aconitums
acoraceae: acoraceaes
acorus: acoruses
acrasiomycetes: acrasiomyceteses
acrididae: acrididaes
acridotheres: acridothereses
acrilan: acrilans
acris: acrises
acrobates: acrobateses
acrocarpus: acrocarpuses
acrocephalus: acrocephaluses
acroclinium: acrocliniums
acrocomia: acrocomias
acropora: acroporas
acrostichum: acrostichums
actias: actiases
actifed: actifeds
actinaria: actinarias
actinia: actinias
actiniaria: actiniarias
actinidia: actinidias
actinidiaceae: actinidiaceaes
actiniopteris: actiniopterises
actinomeris: actinomerises
actinomycetacaea: actinomycetacaeas
actinomycetales: actinomycetaleses
actinomyxidia: actinomyxidias
actinopoda: actinopodas
actinozoa: actinozoas
actitis: actitises
actium: actiums
activase: activases
acular: aculars
adad: adads
adalia: adalias
adam: adams
adansonia: adansonias
adapa: adapas
adapid: adapids
adapin: adapins
adar: adars
addressograph: addressographs
adelaide: adelaides
adelges: adelgeses
adelgidae: adelgidaes
adelie: adelies
aden: adens
adenanthera: adenantheras
adenium: adeniums
adenota: adenotas
adiantaceae: adiantaceaes
adiantum: adiantums
adige: adiges
adirondacks: adirondackses
aditi: aditis
aditya: adityas
adlumia: adlumias
adonic: adonics
adonis: adonises
adrenalin: adrenalins
adrianople: adrianoples
adrianopolis: adrianopolises
adriatic: adriatics
advent: advents
adventism: adventisms
adventist: adventists
advil: advils
aedes: aedeses
aegean: aegeans
aegiceras: aegicerases
aegilops: aegilopses
aegina: aeginas
aegospotami: aegospotamis
aegospotamos: aegospotamoses
aegypiidae: aegypiidaes
aegypius: aegypiuses
aegyptopithecus: aegyptopithecuses
aeneas: aeneases
aeneid: aeneids
aengus: aenguses
aeolia: aeolias
aeolian: aeolians
aeolic: aeolics
aeolis: aeolises
aeolus: aeoluses
aeonium: aeoniums
aepyceros: aepyceroses
aepyornidae: aepyornidaes
aepyorniformes: aepyorniformeses
aerobacter: aerobacters
aertex: aertexes
aeschylus: aeschyluses
aesculapius: aesculapiuses
aesculus: aesculuses
aesir: aesirs
aesop: aesops
aether: aethers
aethionema: aethionemas
aethusa: aethusas
aetobatus: aetobatuses
afghan: afghans
afghani: afghanis
afghanistan: afghanistans
afghanistani: afghanistanis
aflaxen: aflaxens
aframomum: aframomums
afrasian: afrasians
africa: africas
african: africans
africander: africanders
afrikaans: afrikaanses
afrikander: afrikanders
afrikaner: afrikaners
afro: afros
afroasiatic: afroasiatics
afrocarpus: afrocarpusses
ag: ags
agamemnon: agamemnons
agamidae: agamidaes
agapornis: agapornises
agaricaceae: agaricaceaes
agaricales: agaricaleses
agaricus: agaricuses
agastache: agastaches
agathis: agathises
agavaceae: agavaceaes
agdistis: agdistises
agelaius: agelaiuses
ageratina: ageratinas
aghan: aghans
agincourt: agincourts
agkistrodon: agkistrodons
aglaomorpha: aglaomorphas
aglaonema: aglaonemas
agnatha: agnathas
agni: agnis
agonidae: agonidaes
agonus: agonuses
agriculture: agricultures
agriocharis: agriocharises
agrippa: agrippas
agrobacterium: agrobacteriums
agropyron: agropyrons
agrostemma: agrostemmas
agrostis: agrostises
ahab: ahabs
ahriman: ahrimans
ahura: ahuras
aides: aideses
aidoneus: aidoneuses
ailuropoda: ailuropodas
ailuropodidae: ailuropodidaes
ailurus: ailuruses
aire: aires
airedale: airedales
aix: aixes
aizoaceae: aizoaceaes
ajaia: ajaias
ajax: ajaxes
ajuga: ajugas
akaba: akabas
akan: akans
akeridae: akeridaes
akha: akhas
akkadian: akkadians
akron: akrons
aku: akus
al: als
alabama: alabamas
alabaman: alabamans
alabamian: alabamians
aladdin: aladdins
alamo: alamoes
alar: alars
alaska: alaskas
alaskan: alaskans
alauda: alaudas
alaudidae: alaudidaes
albania: albanias
albanian: albanians
albany: albanies
albatrellus: albatrelluses
alberta: albertas
albuginaceae: albuginaceaes
albugo: albugoes
albula: albulas
albulidae: albulidaes
albuquerque: albuquerques
alca: alcas
alcaeus: alcaeuses
alcaic: alcaics
alcea: alceas
alcedinidae: alcedinidaes
alcedo: alcedoes
alcelaphus: alcelaphuses
alces: alceses
alcidae: alcidaes
alcides: alcideses
alcyonacea: alcyonaceas
alcyonaria: alcyonarias
aldactone: aldactones
aldebaran: aldebarans
aldomet: aldomets
aldrovanda: aldrovandas
alectis: alectises
alectoria: alectorias
alectoris: alectorises
alectura: alecturas
alep: aleps
alepisaurus: alepisauruses
aleppo: aleppoes
aletris: aletrises
aleurites: aleuriteses
aleut: aleuts
aleutian: aleutians
aleve: aleves
alexander: alexanders
alexandria: alexandrias
alexandrine: alexandrines
aleyrodes: aleyrodeses
aleyrodidae: aleyrodidaes
algeria: algerias
algerian: algerians
algerie: algeries
algeripithecus: algeripithecuses
algiers: algierses
algonkian: algonkians
algonkin: algonkins
algonquian: algonquians
algonquin: algonquins
alisma: alismas
alismales: alismaleses
